Speed_kmh,Acceleration_ms2,Braking_Pattern,Distance_Driven_km,Location_History,Vehicle_Make,Vehicle_Model,Vehicle_Year,Safety_Features,Past_Claims,Previous_Policy_Lapses,Accident_History,Road_Conditions,Weather_Data,Traffic_Congestion,Current_Premium,Policy_Type,Deductibles,Dynamic_Premium
32,3.61,Moderate,1688,Urban,Chevrolet,Convertible,2007,Standard,1,0,Minor,Good,Clear,Moderate,22202,Third-Party,2618,50400
88,2.08,Smooth,5485,Rural,Mercedes,Coupe,2014,Standard,0,2,None,Moderate,Fog,Low,6044,Comprehensive,2040,16034
65,1.9,Smooth,20870,Suburban,Ford,Convertible,2016,Standard,2,1,None,Good,Snow,Moderate,9585,Comprehensive,1772,23158
55,2.87,Smooth,14685,Suburban,Tesla,Convertible,2012,Standard,3,1,None,Good,Fog,Moderate,32227,Pay-As-You-Drive,2563,86233
60,1.78,Smooth,3376,Urban,Mercedes,Coupe,2012,Standard,3,1,Minor,Poor,Clear,Moderate,7547,Comprehensive,1304,18448
87,1.26,Moderate,26781,Urban,Honda,Coupe,2023,Basic,0,2,None,Poor,Fog,Low,42354,Pay-As-You-Drive,1607,103338
46,1.7,Moderate,27320,Highway,BMW,Truck,2010,Standard,4,2,None,Good,Rain,Moderate,28465,Pay-As-You-Drive,3416,74238
101,0.64,Moderate,12769,Rural,Mercedes,Convertible,2015,Basic,4,2,None,Moderate,Rain,Moderate,49508,Pay-As-You-Drive,3846,138744
74,0.73,Smooth,16128,Rural,Chevrolet,Sedan,2019,Standard,0,2,Major,Good,Clear,Low,13383,Third-Party,2443,29438
46,1.71,Smooth,21959,Urban,Tesla,Sedan,2012,Basic,0,1,Major,Good,Fog,Low,21212,Pay-As-You-Drive,4631,42662
47,3.04,Smooth,4093,Rural,BMW,Sedan,2017,Standard,3,1,None,Good,Clear,Low,8044,Comprehensive,3135,21320
46,3.32,Harsh,19093,Highway,Chevrolet,Coupe,2023,Basic,3,1,Minor,Good,Rain,Low,6163,Comprehensive,3999,16728
51,1.58,Moderate,28146,Highway,Mercedes,Hatchback,2007,Basic,1,2,None,Moderate,Clear,Low,5234,Comprehensive,543,12143
80,3.26,Harsh,21315,Suburban,Chevrolet,Hatchback,2013,Advanced,2,0,Major,Moderate,Clear,Moderate,42126,Third-Party,2894,112998
87,1.89,Smooth,6424,Rural,Tesla,SUV,2001,Standard,2,2,None,Moderate,Clear,Moderate,32993,Third-Party,2943,92267
112,2.57,Smooth,4153,Suburban,BMW,Coupe,2006,Advanced,3,1,None,Moderate,Clear,Moderate,10717,Comprehensive,1832,32963
51,1.9,Smooth,27071,Urban,Tesla,Coupe,2006,Basic,0,0,None,Moderate,Clear,High,22369,Comprehensive,2584,42526
113,1.4,Harsh,5459,Highway,Mercedes,Hatchback,2015,Advanced,2,0,None,Poor,Clear,Low,12471,Third-Party,2784,31084
109,2.36,Smooth,6108,Highway,Toyota,Coupe,2022,Basic,2,2,None,Good,Clear,Low,32436,Pay-As-You-Drive,669,100537
96,1.13,Moderate,22016,Urban,BMW,Truck,2006,Basic,1,2,None,Poor,Clear,Low,24090,Third-Party,1470,62235
67,2.59,Smooth,5335,Suburban,Honda,Coupe,2003,Basic,0,2,None,Moderate,Clear,High,48500,Comprehensive,3027,126332
85,3.21,Moderate,3105,Rural,Ford,Convertible,2019,Basic,2,2,None,Moderate,Fog,High,21132,Pay-As-You-Drive,3780,65729
76,1.65,Smooth,22048,Urban,Chevrolet,Coupe,2009,Standard,1,1,None,Good,Clear,Moderate,24801,Comprehensive,554,58189
111,3.62,Moderate,27496,Urban,BMW,Hatchback,2011,Standard,2,2,None,Good,Clear,High,46481,Pay-As-You-Drive,1988,159396
113,3.87,Smooth,9111,Rural,Chevrolet,Convertible,2000,Standard,3,2,Major,Good,Clear,Moderate,32132,Pay-As-You-Drive,4540,115977
41,2.93,Smooth,6548,Suburban,Ford,Sedan,2018,Standard,4,1,Minor,Good,Rain,Moderate,11652,Pay-As-You-Drive,4189,31158
40,0.98,Moderate,9555,Urban,Honda,Coupe,2021,Advanced,0,2,None,Good,Clear,High,37342,Third-Party,4877,73909
82,1.17,Smooth,11683,Rural,Ford,Coupe,2018,Basic,0,2,None,Good,Rain,Moderate,43551,Third-Party,3035,103459
69,3.06,Smooth,18078,Urban,Mercedes,Convertible,2021,Basic,3,2,None,Moderate,Clear,Moderate,24346,Pay-As-You-Drive,3664,73990
111,3.22,Smooth,12569,Highway,Honda,Hatchback,2012,Basic,4,2,None,Good,Rain,Moderate,17919,Comprehensive,4034,63251
109,1.37,Smooth,22846,Suburban,BMW,Truck,2012,Basic,1,1,None,Good,Fog,Moderate,43589,Third-Party,1472,111166
114,1.27,Smooth,26358,Urban,BMW,Coupe,2018,Basic,1,2,Major,Moderate,Rain,Moderate,27954,Third-Party,2449,77351
94,3.89,Smooth,29956,Suburban,Tesla,Truck,2020,Standard,1,2,None,Moderate,Rain,Low,11967,Comprehensive,939,38951
112,2.39,Smooth,25630,Rural,Mercedes,Truck,2013,Standard,2,1,None,Good,Clear,High,41146,Pay-As-You-Drive,2815,120617
67,2.71,Moderate,29209,Urban,Honda,Truck,2009,Standard,3,0,Major,Good,Clear,Low,35716,Comprehensive,1337,90587
66,0.61,Smooth,7908,Suburban,Honda,Coupe,2003,Standard,1,1,None,Moderate,Clear,High,22202,Comprehensive,2265,44446
53,2.15,Harsh,3634,Suburban,Mercedes,Coupe,2021,Basic,4,1,None,Poor,Clear,Low,9247,Pay-As-You-Drive,1941,23842
64,0.83,Smooth,1710,Rural,BMW,Sedan,2007,Standard,0,1,None,Good,Snow,Moderate,21299,Comprehensive,3387,41318
105,2.78,Moderate,29053,Urban,Honda,Truck,2017,Basic,2,0,Major,Moderate,Rain,High,7243,Pay-As-You-Drive,3121,20055
84,1.85,Smooth,23850,Suburban,Honda,Hatchback,2003,Advanced,2,0,None,Good,Rain,Low,43827,Comprehensive,3285,103531
97,0.63,Smooth,853,Highway,BMW,Convertible,2009,Basic,2,1,Minor,Good,Clear,Moderate,21176,Pay-As-You-Drive,837,50119
46,1.89,Smooth,5258,Suburban,Toyota,SUV,2015,Standard,1,2,None,Moderate,Rain,Moderate,34540,Pay-As-You-Drive,931,81393
53,2.03,Smooth,13675,Urban,Chevrolet,Sedan,2002,Basic,3,2,Minor,Moderate,Fog,Moderate,26310,Third-Party,4146,69669
77,3.61,Smooth,581,Suburban,Mercedes,Truck,2008,Advanced,4,1,Minor,Moderate,Clear,Low,8920,Pay-As-You-Drive,4067,28039
41,0.61,Smooth,8287,Highway,BMW,Convertible,2014,Basic,1,0,None,Good,Clear,High,35093,Pay-As-You-Drive,942,55925
49,1.67,Smooth,9358,Highway,BMW,Coupe,2003,Standard,3,0,None,Moderate,Clear,Moderate,9484,Pay-As-You-Drive,1344,20164
67,1.12,Moderate,25421,Rural,Tesla,Coupe,2016,Basic,2,2,None,Poor,Clear,Low,22593,Pay-As-You-Drive,2890,55070
112,1.28,Smooth,23817,Urban,Mercedes,Convertible,2019,Basic,3,2,Major,Moderate,Clear,Moderate,16642,Pay-As-You-Drive,2398,49149
68,3.96,Smooth,16041,Highway,Chevrolet,Truck,2022,Standard,1,1,Minor,Good,Rain,Moderate,36786,Comprehensive,3257,105106
67,3.05,Smooth,25447,Urban,BMW,Convertible,2021,Basic,1,0,None,Good,Fog,High,27251,Pay-As-You-Drive,2252,65976
58,0.7,Moderate,24983,Highway,BMW,Hatchback,2002,Standard,4,1,None,Good,Clear,Low,47477,Comprehensive,3327,107251
90,1.6,Smooth,3394,Suburban,BMW,Truck,2021,Standard,2,1,None,Good,Clear,Low,33093,Third-Party,2188,84388
45,0.89,Smooth,28648,Urban,Ford,Coupe,2012,Standard,0,0,None,Moderate,Clear,Moderate,41494,Comprehensive,2392,66240
34,3.03,Smooth,14508,Rural,Mercedes,Hatchback,2015,Basic,2,0,Minor,Poor,Clear,Low,47159,Pay-As-You-Drive,741,105702
107,1.34,Harsh,20958,Suburban,Tesla,Sedan,2011,Advanced,0,1,None,Poor,Clear,Moderate,24803,Pay-As-You-Drive,2392,60216
107,3.97,Smooth,14405,Urban,Chevrolet,Convertible,2004,Basic,2,0,Minor,Good,Clear,High,28913,Pay-As-You-Drive,4914,89136
95,0.7,Smooth,11561,Urban,Chevrolet,Convertible,2000,Standard,3,1,None,Moderate,Snow,High,25641,Comprehensive,3524,63241
99,1.87,Moderate,26477,Suburban,Toyota,Convertible,2004,Standard,0,1,None,Poor,Snow,Low,10397,Third-Party,3760,25922
104,3.95,Moderate,27861,Highway,Tesla,Truck,2004,Advanced,2,0,None,Good,Clear,High,25078,Comprehensive,2635,76581
58,1.94,Moderate,20896,Highway,Chevrolet,Convertible,2019,Standard,1,1,Minor,Good,Clear,Moderate,48988,Third-Party,1876,111175
63,1.14,Smooth,15098,Rural,BMW,Convertible,2008,Basic,4,1,None,Poor,Rain,Low,11736,Pay-As-You-Drive,2721,28273
99,2.12,Smooth,20271,Rural,Tesla,Convertible,2015,Basic,2,2,None,Good,Clear,Moderate,28204,Pay-As-You-Drive,2325,83326
73,3.31,Smooth,29747,Rural,Toyota,Truck,2021,Standard,1,0,None,Poor,Rain,Moderate,30869,Third-Party,4884,78245
31,3.22,Moderate,10988,Rural,Honda,Coupe,2001,Basic,4,0,None,Good,Clear,Low,46192,Third-Party,1587,113818
92,3.0,Moderate,24729,Suburban,BMW,SUV,2005,Basic,1,1,None,Good,Rain,High,10910,Pay-As-You-Drive,716,30718
57,2.18,Smooth,23225,Highway,Tesla,Convertible,2001,Advanced,1,1,None,Good,Fog,Moderate,23913,Third-Party,2886,55493
81,2.13,Smooth,15470,Urban,Honda,Truck,2011,Standard,2,0,None,Good,Fog,Moderate,40073,Pay-As-You-Drive,3867,96434
110,3.29,Moderate,7017,Urban,Chevrolet,Convertible,2011,Standard,1,1,None,Good,Rain,Moderate,19132,Comprehensive,3740,58144
72,1.51,Smooth,10182,Rural,Tesla,Coupe,2015,Advanced,2,1,None,Moderate,Clear,Moderate,45667,Comprehensive,2181,108595
52,3.03,Smooth,24771,Highway,BMW,Hatchback,2008,Basic,0,1,None,Good,Clear,Moderate,29336,Third-Party,1322,70139
114,3.81,Smooth,2556,Suburban,Tesla,Convertible,2012,Standard,4,2,None,Good,Fog,Low,31194,Third-Party,1595,115508
98,1.22,Smooth,7168,Rural,Tesla,Sedan,2014,Advanced,1,2,Minor,Moderate,Clear,Moderate,38827,Pay-As-You-Drive,959,101762
59,0.65,Moderate,6790,Highway,BMW,Convertible,2023,Advanced,1,1,None,Good,Rain,Moderate,48676,Third-Party,3549,95097
51,0.7,Moderate,26629,Highway,Ford,SUV,2013,Standard,4,1,Minor,Good,Fog,Moderate,21317,Third-Party,2138,46904
94,3.85,Smooth,24534,Highway,Toyota,SUV,2006,Advanced,4,0,None,Moderate,Rain,Low,10083,Pay-As-You-Drive,4067,31707
45,2.57,Smooth,18602,Highway,Ford,Hatchback,2023,Basic,0,1,None,Moderate,Clear,High,34213,Pay-As-You-Drive,4204,75875
31,2.51,Moderate,26632,Urban,Honda,Hatchback,2005,Advanced,2,2,None,Good,Clear,Low,45133,Third-Party,3121,112225
30,2.98,Smooth,7049,Rural,Tesla,Hatchback,2008,Advanced,2,0,None,Poor,Clear,Moderate,43121,Comprehensive,3208,94618
97,1.74,Moderate,22184,Highway,Toyota,SUV,2019,Standard,0,2,Minor,Good,Clear,High,33011,Pay-As-You-Drive,2489,87244
99,3.83,Smooth,7738,Suburban,Ford,Sedan,2017,Advanced,4,1,None,Good,Clear,High,5126,Third-Party,3483,17339
47,1.16,Smooth,8069,Rural,Mercedes,Truck,2023,Standard,3,1,Minor,Good,Clear,Low,26833,Third-Party,4241,58533
55,3.07,Smooth,2426,Urban,Toyota,Hatchback,2006,Basic,1,0,Minor,Good,Clear,High,32992,Comprehensive,4382,76722
112,1.02,Smooth,8529,Rural,Mercedes,Convertible,2009,Standard,4,2,None,Moderate,Fog,High,19518,Third-Party,2101,58337
54,1.45,Smooth,11278,Urban,Toyota,SUV,2012,Basic,1,1,None,Poor,Clear,High,10865,Pay-As-You-Drive,2065,22953
112,1.53,Harsh,3613,Urban,Toyota,Truck,2002,Standard,1,1,None,Poor,Clear,Low,19234,Pay-As-You-Drive,3263,50334
84,3.97,Smooth,11576,Highway,Honda,Hatchback,2011,Standard,2,2,None,Moderate,Rain,Moderate,13650,Comprehensive,4512,44939
103,3.04,Smooth,23365,Urban,Toyota,Sedan,2002,Standard,0,0,Minor,Good,Clear,High,35481,Third-Party,2949,92882
40,1.06,Smooth,9364,Suburban,Chevrolet,Hatchback,2000,Standard,3,2,None,Moderate,Clear,Low,11403,Third-Party,1104,26193
54,2.25,Moderate,3848,Suburban,BMW,Hatchback,2006,Basic,3,2,None,Good,Clear,Low,7015,Comprehensive,4389,19020
45,1.13,Moderate,27812,Highway,Ford,SUV,2022,Basic,2,1,None,Good,Clear,Low,27582,Third-Party,3014,56722
59,3.12,Moderate,14647,Urban,Ford,Hatchback,2023,Standard,2,1,None,Good,Clear,High,37072,Comprehensive,2655,99073
48,2.92,Smooth,13728,Urban,Toyota,Truck,2010,Basic,4,2,Minor,Moderate,Clear,Moderate,44896,Pay-As-You-Drive,3262,131519
107,2.26,Smooth,25009,Highway,Honda,SUV,2003,Standard,1,1,None,Good,Clear,Moderate,40769,Third-Party,1145,112409
119,3.92,Smooth,28441,Highway,BMW,SUV,2010,Basic,4,1,Minor,Good,Rain,Low,34894,Comprehensive,4063,124653
97,1.79,Smooth,6624,Highway,Toyota,Sedan,2014,Standard,2,2,None,Poor,Fog,Moderate,42836,Pay-As-You-Drive,4930,122292
84,1.47,Smooth,26322,Highway,Honda,Sedan,2016,Basic,0,2,Minor,Good,Fog,High,27082,Third-Party,4918,66833
105,1.54,Moderate,22114,Urban,Tesla,Convertible,2002,Standard,4,2,Minor,Poor,Clear,Low,47169,Pay-As-You-Drive,2942,144332
117,3.81,Smooth,26195,Suburban,BMW,Hatchback,2010,Standard,1,0,Major,Good,Clear,Moderate,10303,Pay-As-You-Drive,3697,31187
42,1.83,Moderate,27762,Rural,Mercedes,Coupe,2016,Basic,3,2,None,Moderate,Rain,Moderate,32150,Comprehensive,1693,80615
46,3.72,Moderate,25498,Suburban,Mercedes,Coupe,2006,Basic,4,1,Major,Poor,Clear,High,23632,Third-Party,950,68821
72,2.21,Smooth,20120,Rural,BMW,Convertible,2009,Basic,3,2,None,Good,Clear,Low,43180,Third-Party,1818,123185
103,1.99,Smooth,14150,Suburban,Toyota,Truck,2000,Basic,3,1,None,Poor,Clear,Moderate,42820,Comprehensive,1504,122330
67,1.3,Smooth,25226,Suburban,Toyota,Hatchback,2003,Basic,4,1,None,Poor,Clear,Moderate,15876,Third-Party,1050,39438
79,2.06,Smooth,16421,Suburban,Mercedes,Coupe,2022,Basic,0,1,Minor,Good,Clear,High,6853,Comprehensive,1889,16265
33,2.73,Smooth,22163,Urban,Toyota,SUV,2006,Standard,0,0,None,Moderate,Rain,Low,19950,Third-Party,4519,39057
99,1.71,Smooth,1290,Rural,Toyota,Truck,2018,Basic,2,0,None,Good,Clear,Moderate,10030,Pay-As-You-Drive,4347,24604
84,2.95,Smooth,1715,Urban,Ford,Sedan,2006,Advanced,4,2,None,Good,Rain,Moderate,49860,Third-Party,3521,161371
102,1.64,Moderate,20023,Suburban,Honda,SUV,2000,Basic,0,1,None,Good,Clear,Low,10426,Third-Party,3867,25659
35,3.12,Smooth,10290,Highway,Mercedes,Sedan,2008,Advanced,4,1,None,Moderate,Rain,Low,37982,Comprehensive,2853,101459
35,1.81,Harsh,8797,Highway,Tesla,Coupe,2016,Advanced,0,2,Minor,Moderate,Rain,Low,8672,Comprehensive,1739,18590
102,3.57,Moderate,17066,Urban,BMW,Convertible,2002,Standard,4,2,Minor,Moderate,Clear,Low,30289,Third-Party,573,107313
95,2.42,Smooth,20325,Suburban,Mercedes,SUV,2006,Standard,1,1,Minor,Good,Clear,Moderate,40754,Third-Party,1991,109855
65,1.93,Smooth,19477,Highway,Tesla,SUV,2017,Standard,2,0,None,Poor,Clear,High,23814,Pay-As-You-Drive,4535,52942
39,2.2,Moderate,3547,Highway,Tesla,Truck,2017,Advanced,4,0,None,Moderate,Clear,Moderate,6927,Pay-As-You-Drive,2318,15753
105,2.71,Smooth,13311,Rural,Ford,Convertible,2000,Standard,0,0,None,Moderate,Clear,Moderate,25499,Comprehensive,2371,65104
74,1.47,Smooth,24383,Rural,Ford,Hatchback,2022,Basic,2,1,Minor,Moderate,Clear,Low,28633,Comprehensive,2276,68300
40,3.47,Smooth,25048,Highway,Honda,Truck,2010,Standard,1,2,Minor,Good,Clear,High,44608,Pay-As-You-Drive,1229,120521
76,0.58,Moderate,2533,Urban,Toyota,Truck,2018,Standard,0,2,None,Good,Clear,Low,46703,Comprehensive,3895,101689
96,3.47,Smooth,4253,Urban,Ford,Hatchback,2015,Advanced,2,1,None,Good,Rain,Moderate,24808,Comprehensive,2789,76099
61,3.3,Harsh,2067,Rural,Toyota,SUV,2018,Standard,0,2,None,Good,Clear,Moderate,40812,Third-Party,2140,111574
70,3.01,Moderate,22768,Highway,Honda,Sedan,2003,Basic,2,0,None,Moderate,Clear,Low,11112,Comprehensive,1072,28171
48,3.94,Smooth,5853,Suburban,Toyota,Hatchback,2008,Basic,4,2,None,Poor,Clear,Moderate,13410,Comprehensive,3995,42711
39,1.28,Moderate,14223,Rural,Tesla,Truck,2015,Basic,2,1,Minor,Poor,Clear,Low,47039,Pay-As-You-Drive,1522,96245
90,0.94,Smooth,10943,Rural,Mercedes,Convertible,2017,Advanced,2,0,None,Good,Clear,Moderate,24706,Third-Party,1487,53969
97,1.86,Smooth,6936,Highway,Ford,Convertible,2018,Standard,1,2,None,Moderate,Fog,Moderate,32900,Comprehensive,1718,91251
106,1.48,Moderate,3437,Rural,Mercedes,Hatchback,2012,Basic,2,2,Minor,Good,Rain,High,20351,Third-Party,2194,58053
92,1.91,Harsh,23221,Urban,Toyota,Hatchback,2004,Standard,3,0,None,Moderate,Clear,Low,14578,Pay-As-You-Drive,2131,37083
86,2.6,Moderate,19552,Highway,Honda,Truck,2010,Standard,3,0,Minor,Good,Clear,Moderate,30245,Pay-As-You-Drive,3277,80659
109,1.19,Smooth,19670,Rural,BMW,Sedan,2019,Advanced,2,0,None,Good,Clear,High,46346,Comprehensive,2208,111483
64,1.91,Moderate,4590,Urban,BMW,SUV,2011,Standard,2,2,None,Poor,Rain,Low,45590,Pay-As-You-Drive,547,118972
80,3.22,Smooth,3909,Rural,Mercedes,Coupe,2021,Standard,1,1,None,Good,Clear,Low,23858,Comprehensive,2809,66134
61,0.93,Moderate,17681,Urban,Mercedes,Truck,2015,Basic,1,2,None,Moderate,Rain,Moderate,39426,Comprehensive,3319,88305
100,0.96,Moderate,14559,Urban,Mercedes,SUV,2010,Standard,1,2,Minor,Poor,Clear,Moderate,42738,Pay-As-You-Drive,2283,110015
30,3.24,Smooth,23202,Urban,Honda,Sedan,2022,Advanced,2,2,None,Poor,Snow,Low,45044,Comprehensive,2212,119861
118,3.86,Smooth,11247,Suburban,BMW,SUV,2001,Standard,1,1,None,Good,Rain,Moderate,45204,Pay-As-You-Drive,1760,146792
34,2.09,Smooth,7077,Rural,Ford,Coupe,2010,Basic,0,1,None,Good,Rain,High,39966,Comprehensive,3526,80132
40,1.38,Moderate,12113,Urban,BMW,Convertible,2023,Advanced,0,1,Minor,Poor,Rain,Low,16222,Pay-As-You-Drive,2268,30480
61,2.57,Moderate,1563,Suburban,Mercedes,Truck,2023,Standard,3,0,Major,Good,Clear,Moderate,6582,Pay-As-You-Drive,1549,16131
105,1.18,Moderate,17103,Urban,Ford,Coupe,2009,Standard,0,0,None,Good,Clear,Low,45896,Pay-As-You-Drive,3871,99592
35,2.0,Moderate,13430,Urban,Tesla,Sedan,2007,Standard,3,1,None,Poor,Rain,Moderate,9197,Third-Party,3339,21087
115,1.89,Smooth,25517,Highway,Ford,Convertible,2017,Basic,1,1,Minor,Moderate,Clear,Moderate,48582,Pay-As-You-Drive,4098,132617
117,3.58,Smooth,23455,Suburban,BMW,Sedan,2017,Advanced,3,2,None,Good,Clear,Moderate,18599,Pay-As-You-Drive,3839,66406
111,0.61,Harsh,20736,Rural,Mercedes,Convertible,2005,Advanced,1,2,Minor,Good,Fog,Moderate,35006,Pay-As-You-Drive,2726,90236
78,2.81,Moderate,14709,Urban,BMW,Coupe,2006,Basic,2,1,None,Good,Fog,Low,21980,Pay-As-You-Drive,4276,60526
35,1.01,Smooth,29564,Suburban,BMW,Sedan,2016,Advanced,2,1,Minor,Good,Clear,High,27160,Third-Party,2476,52819
105,0.91,Smooth,20846,Rural,Chevrolet,Truck,2000,Advanced,4,2,Minor,Good,Clear,High,37689,Pay-As-You-Drive,2321,109366
94,1.06,Smooth,23045,Rural,Ford,Coupe,2023,Standard,2,0,None,Good,Clear,Moderate,40037,Pay-As-You-Drive,4020,90032
112,0.61,Smooth,29997,Urban,Chevrolet,Convertible,2021,Advanced,4,0,None,Moderate,Clear,High,29386,Pay-As-You-Drive,2871,73022
82,0.79,Smooth,18296,Highway,Chevrolet,Hatchback,2022,Basic,3,2,None,Moderate,Fog,Low,35195,Third-Party,1924,90850
93,3.46,Smooth,7651,Suburban,BMW,Convertible,2003,Advanced,3,1,None,Moderate,Clear,Low,20972,Comprehensive,1358,65863
46,3.68,Smooth,29638,Rural,Honda,Sedan,2021,Basic,3,2,Minor,Moderate,Clear,Moderate,22330,Pay-As-You-Drive,2175,67074
97,2.39,Smooth,28196,Urban,Toyota,Convertible,2006,Advanced,4,1,None,Poor,Clear,Low,6917,Comprehensive,2006,20794
47,2.93,Smooth,8661,Urban,Chevrolet,Coupe,2006,Standard,2,0,None,Moderate,Clear,Moderate,14286,Third-Party,4054,33218
107,3.01,Harsh,22787,Urban,Toyota,Truck,2011,Standard,3,0,None,Moderate,Rain,Low,14725,Comprehensive,2873,43344
50,1.53,Smooth,5932,Highway,Tesla,Hatchback,2023,Basic,2,1,None,Good,Snow,Moderate,27587,Third-Party,2758,60635
91,3.25,Moderate,21927,Urban,Tesla,Convertible,2014,Basic,1,2,None,Moderate,Snow,Low,35425,Comprehensive,835,108747
107,3.51,Smooth,6951,Urban,Tesla,Convertible,2021,Basic,1,0,None,Moderate,Snow,Moderate,21145,Pay-As-You-Drive,3438,60653
60,2.03,Smooth,27609,Urban,Chevrolet,SUV,2001,Basic,1,0,Minor,Good,Clear,Low,27785,Comprehensive,3550,58527
62,2.49,Smooth,15989,Suburban,Ford,Coupe,2014,Standard,0,1,None,Good,Clear,Low,22760,Third-Party,2067,53259
38,0.64,Smooth,8946,Highway,Mercedes,Sedan,2009,Basic,3,1,None,Good,Rain,Moderate,42302,Third-Party,4546,83573
56,2.02,Smooth,20496,Highway,Honda,Hatchback,2023,Basic,4,0,None,Moderate,Snow,High,11811,Pay-As-You-Drive,971,28023
44,1.37,Harsh,16130,Rural,Ford,Coupe,2003,Standard,2,0,Minor,Good,Rain,Moderate,7593,Pay-As-You-Drive,794,14502
113,3.54,Smooth,2090,Suburban,Mercedes,Hatchback,2012,Basic,0,2,None,Good,Snow,Moderate,14559,Pay-As-You-Drive,847,46961
49,2.28,Smooth,12126,Urban,BMW,Convertible,2011,Basic,0,2,Minor,Good,Clear,High,48732,Comprehensive,3585,115847
67,3.35,Moderate,17796,Rural,BMW,Hatchback,2002,Basic,3,1,None,Moderate,Clear,Moderate,17271,Pay-As-You-Drive,3444,50000
112,2.39,Smooth,24661,Rural,Ford,Truck,2012,Standard,1,1,None,Good,Rain,Moderate,28513,Pay-As-You-Drive,3531,80685
32,3.88,Moderate,7556,Suburban,Honda,Hatchback,2012,Basic,1,2,None,Good,Fog,High,28483,Pay-As-You-Drive,3218,77926
57,2.63,Smooth,17170,Urban,Mercedes,Convertible,2019,Advanced,1,2,None,Good,Clear,High,28687,Pay-As-You-Drive,1919,75521
116,2.68,Smooth,11808,Urban,Ford,Convertible,2023,Basic,0,2,Minor,Good,Rain,Moderate,22962,Comprehensive,4736,69707
82,2.14,Smooth,16746,Rural,Tesla,Sedan,2020,Standard,2,0,Minor,Moderate,Rain,High,10675,Pay-As-You-Drive,4187,25813
34,1.15,Moderate,968,Urban,BMW,Convertible,2019,Advanced,4,1,None,Good,Rain,Low,16762,Third-Party,2945,36404
103,0.92,Smooth,13549,Urban,Chevrolet,Hatchback,2010,Standard,2,2,None,Poor,Clear,High,48587,Third-Party,4233,130609
31,3.53,Moderate,28188,Rural,Mercedes,Hatchback,2019,Advanced,4,2,None,Moderate,Fog,Moderate,7270,Third-Party,2615,21382
54,3.83,Smooth,29085,Suburban,Honda,Hatchback,2006,Standard,2,2,None,Good,Clear,Low,12374,Comprehensive,1766,37207
61,2.77,Smooth,6210,Highway,BMW,SUV,2015,Basic,2,1,None,Moderate,Clear,Low,36253,Pay-As-You-Drive,3575,94295
42,2.87,Smooth,21584,Highway,BMW,Truck,2021,Standard,3,0,None,Good,Fog,High,37363,Comprehensive,3305,88471
37,3.38,Harsh,7673,Rural,Ford,Sedan,2019,Standard,0,1,None,Good,Rain,High,42826,Pay-As-You-Drive,4145,100821
56,1.9,Smooth,6286,Rural,Tesla,Truck,2011,Basic,3,1,Minor,Good,Clear,High,36998,Comprehensive,2738,90336
49,2.1,Moderate,28535,Suburban,Honda,Sedan,2021,Basic,2,2,None,Good,Clear,Moderate,28525,Comprehensive,3708,72256
96,1.91,Smooth,20737,Urban,Toyota,Truck,2001,Standard,3,2,Minor,Good,Clear,Moderate,33788,Pay-As-You-Drive,747,100563
47,1.84,Smooth,8839,Rural,Chevrolet,Coupe,2022,Standard,1,2,None,Good,Clear,High,6209,Third-Party,1357,14598
55,1.14,Harsh,14315,Suburban,BMW,Convertible,2014,Advanced,4,2,Minor,Good,Clear,Moderate,27798,Third-Party,4316,70712
72,3.58,Smooth,25640,Suburban,Toyota,Sedan,2009,Standard,1,1,None,Good,Clear,Moderate,44132,Third-Party,4626,123401
83,2.09,Smooth,1329,Suburban,Toyota,Sedan,2023,Standard,2,1,None,Poor,Clear,High,5048,Comprehensive,805,13196
82,2.75,Moderate,12632,Highway,Tesla,Truck,2019,Standard,2,1,None,Poor,Rain,Low,7649,Third-Party,4001,21194
95,2.11,Moderate,10154,Suburban,Tesla,Hatchback,2002,Basic,3,1,Major,Moderate,Snow,Low,22074,Comprehensive,3647,62218
119,3.03,Harsh,12746,Suburban,Ford,Coupe,2010,Basic,3,2,None,Poor,Rain,Moderate,19641,Third-Party,3184,67760
57,1.08,Harsh,10362,Highway,Honda,SUV,2015,Basic,0,2,None,Good,Fog,Moderate,22326,Comprehensive,4725,47893
36,1.31,Smooth,14902,Highway,Honda,Hatchback,2014,Standard,3,1,None,Good,Clear,Low,16104,Comprehensive,3551,34248
34,1.66,Moderate,27172,Highway,BMW,Hatchback,2013,Standard,0,2,None,Poor,Rain,Low,8157,Third-Party,2146,17113
33,1.75,Moderate,20151,Rural,BMW,Hatchback,2022,Standard,4,1,None,Good,Fog,Moderate,18898,Third-Party,2092,43715
61,0.72,Smooth,21143,Suburban,Tesla,Convertible,2001,Basic,2,2,None,Moderate,Clear,Moderate,31893,Comprehensive,2901,72959
90,2.96,Harsh,16482,Highway,BMW,SUV,2023,Basic,1,2,None,Good,Clear,Moderate,25083,Comprehensive,4489,74970
46,1.31,Smooth,25689,Suburban,Tesla,SUV,2010,Standard,4,2,Minor,Poor,Rain,Low,18779,Pay-As-You-Drive,4329,47147
66,1.23,Smooth,899,Urban,Tesla,Truck,2009,Basic,3,0,Major,Moderate,Clear,Moderate,12319,Third-Party,4110,26575
57,2.76,Smooth,23253,Urban,Mercedes,Sedan,2010,Standard,2,0,None,Good,Snow,Low,19986,Third-Party,4997,47244
